year;MLABIL01_;MLABIL02_;MLABIL04_;MLABIL06_;MLABIL07_;MLABIL10_;MLABIL11_;MLABIL13_;MLABIL14_;MLABIL16_;aver
1963;618.9219971;475.8025818;579.5170898;494.372467;386.7242126;516.4146118;500.7643127;577.1488647;437.8059082;507.9206543;509.53927
1964;711.2056885;500.6860352;738.128479;510.2305298;371.5276489;678.4781494;641.3833618;570.9475708;636.3000488;502.4107361;586.1298248
1965;778.2384644;576.7966919;706.3629761;551.4712524;489.2678833;650.2406006;540.3762817;621.9060669;499.5600891;571.4561768;598.5676483
1966;640.6616211;498.4223633;566.0412598;417.9458618;429.356781;555.5892334;458.2127686;586.0131226;621.2098389;458.9006348;523.2353485
1967;622.1627808;485.6233215;596.3413696;400.5898132;419.1230469;528.2105713;415.6538391;526.3151245;574.5211792;480.4576721;504.8998718
1968;650.3153687;376.2610779;687.8250122;448.1202698;477.5368652;589.696228;566.1269531;589.8335571;553.0168457;566.2770386;550.5009216
1969;679.9935303;286.4666138;520.0788574;484.9931335;364.6625977;630.3046875;431.2645874;558.0167847;458.8146362;408.8137512;482.340918
1970;695.1981812;401.1697998;728.0751343;550.7263794;520.2754517;848.7005005;635.0148315;646.0732422;391.2504578;604.7443848;602.1228363
1971;643.8356934;237.8835449;628.6223755;540.0598145;495.9977417;480.4969482;491.1158447;628.111145;599.3723755;513.2802734;525.8775757
1972;591.9020996;344.9627991;649.6758423;423.3309937;439.3905334;444.0735779;429.4942017;624.0085449;387.4484863;498.8384399;483.3125519
1973;471.385437;432.0405884;527.0707397;351.87854;397.7260437;418.9248657;460.4019165;530.3718262;452.4796143;451.5033875;449.3782959
1974;657.951355;603.1222534;586.9298706;493.4544067;373.88974;462.0180054;530.5391846;590.883667;572.0981445;544.6216431;541.550827
1975;749.7412109;548.890686;752.6630249;439.2695313;506.7636719;501.532074;434.5491638;661.7749023;695.1934204;659.3293457;594.9707031
