year,MRadDistBIL01_,MRadDistBIL02_,MRadDistBIL04_,MRadDistBIL06_,MRadDistBIL07_,MRadDistBIL10_,MRadDistBIL11_,MRadDistBIL13_,MRadDistBIL14_,MRadDistBIL16_
1984,12314.140625,3045.1484375,12380.234375,4453.2109375,4118.6875,5906.9609375,3379.21875,3239.828125,545.546875,6100.484375
1985,3173.3125,3378.28125,1402.0390625,4947.7265625,4706.5234375,6458.9140625,4492.5234375,3552.6015625,1025,6827.3984375
1986,3774.4609375,3612.8046875,1788.421875,5216.2734375,5029.1796875,7063.265625,5270.25,3813.8515625,1384.2890625,7270.1484375
1987,4246.09375,3758.1328125,1855.625,5379.515625,5220.9140625,7539.15625,5650.875,3902.7109375,1637.3125,7489.7734375
1988,4813.09375,3988.7265625,2274.8125,5699.5078125,5562.0078125,7990.546875,6163.8203125,4100.140625,1999.765625,7829.0078125
1989,5401.34375,4220.296875,2715.6796875,5962.484375,5965.65625,8311.59375,6695.90625,4320.484375,2346.3046875,7957.65625
1990,5813.4765625,4346.7265625,2935.1015625,6128.765625,6286.65625,8667.6328125,6976.6484375,4430.1640625,2632.2265625,8095.4140625
1991,6395.6328125,4589.3125,3388.75,6395.2734375,6670.2265625,9049.28125,7435.2265625,4662.8671875,2983.4765625,8315.0625
1992,6632.7109375,4643.3203125,3467.6328125,6495.4609375,6785.40625,9134.3671875,7637.6640625,4684.671875,3105.7109375,8347.828125
1993,6994.1640625,4758.671875,3644.9296875,6542.78125,6945.8984375,980.1875,7840.6484375,4742.453125,3184.140625,8403.6328125
1994,7522.9296875,4926.140625,3917.8125,6819.453125,7218.2578125,1192.9609375,8197.6328125,4906.5859375,3439.5,8557.7265625
1995,8152.8125,5081.34375,4183.0546875,7036.8984375,7520.1171875,1487.1015625,8699.046875,5035.1015625,3708.078125,8706.15625
1996,8548.0078125,5200.7734375,4276.3515625,7111.5703125,7746.8203125,1688.4375,9055.203125,5102.671875,3866.09375,8757.640625
1997,9280.0625,5457.421875,4655.171875,872.265625,8201.6484375,2133.625,9902.0859375,5448.8359375,4217.1484375,9055.125
1998,9754.4296875,5616.9296875,4838.78125,1077.1875,8545.25,2586.8125,10588.9453125,5832.3046875,4482.015625,9158.7578125
1999,10357.75,5856.4140625,5135.4140625,1353.1015625,740.5234375,3089.3203125,11369.53125,6279.390625,4820.7578125,9375.890625
2000,10855.6796875,6033.7265625,5367.84375,1507.1640625,1122.9609375,3503.171875,12085.0546875,6704.8671875,5152.5546875,9517.25
2001,11460.984375,6169.5,5554.25,1696.34375,1413.03125,3986.5234375,12633.3125,6965.15625,5532.78125,9639.6953125
2002,11941.375,6362.5546875,5891.1953125,1944.421875,1674.28125,4315.0546875,13183.328125,7199.1875,5948.359375,9769.671875
2003,12388.3359375,6518.2734375,6123.1171875,2147.234375,1965.8359375,4583.453125,1404.4140625,7387.140625,6272.7109375,9815.6796875
2004,12940.6953125,6753.5625,6514.84375,2447.3046875,2318.296875,4994.28125,1971.6953125,7674.4375,6713.8828125,10022.140625
2005,767.5,7039.78125,7046.4296875,2812.5078125,2853.9453125,5390.265625,2496.6640625,8047.9140625,7270.078125,10260.9140625
2006,1286.8515625,7207.1875,7337.2421875,3092.5078125,3178.8203125,5739.0546875,3016.75,8266.5078125,7566.1171875,10389.34375
2007,1809.3984375,7412.203125,7675.03125,3361.7890625,3536.171875,6138.96875,3600.4921875,8457.484375,7985.9609375,10568.5078125
2008,2265.75,7568.328125,7977.171875,3557.7265625,3861.0390625,6553.609375,4117.3984375,8655.484375,8228.3671875,10724.7265625
2009,2639.828125,7710.46875,8213.5078125,3704.3515625,4142.28125,6892.921875,4540.2265625,8787.71875,8458.1796875,10837.203125
2010,3323.859375,7909.5234375,8572.8984375,4042.296875,4586.734375,7390.796875,5465.6796875,8989.1796875,8862.2421875,11039.140625
2011,3878.921875,8113.5,8921.96875,4436.828125,4851.484375,7752.8984375,6195.671875,9289.78125,9223.625,11186.46875
2012,4388.5703125,8338.2578125,9228.5078125,4678.9453125,5140.7890625,8106.4765625,6792.5859375,9548.7734375,9610.0859375,11339.3984375
2013,4739.5390625,8462.0078125,9381.4140625,4766.6015625,5370.90625,8357.21875,7108.6015625,9632.7578125,9718.625,11371.7109375
2014,5068.671875,8538.84375,9479.953125,4925.59375,5562.9453125,8664.2890625,7363.328125,9665.7890625,9956.6171875,11438.8359375
2015,5671.1015625,8704.0703125,9737.3984375,5160.703125,5893.015625,9058.5,7787.9375,9850.1484375,10279.015625,11585.96875
2016,6285.5390625,8835.2265625,10016.59375,5337.2109375,6247.59375,9531.4453125,8276.59375,10028.828125,10594.2734375,11667.2890625
2017,7002.140625,8979.7578125,10444.9375,5711.09375,6801.125,10279.7421875,8971.515625,10191.65625,11117.546875,11719.859375
2018,7584.453125,9150.1015625,10729.0703125,5996.0234375,7276.0625,11036.6875,9608.546875,10372.734375,11539.984375,11819.9921875
2019,8264.75,9284.40625,11032.203125,6213.90625,7636.0234375,11725.59375,10201.9375,10489.25,11947.65625,11917.296875
2020,8797.3984375,9446.0078125,11265.28125,6405.2734375,7933.5546875,12296.34375,10706.8203125,10639.3671875,12238.578125,12020
2021,9367.96875,9631.21875,11552.828125,6567.7421875,8287.5703125,12965.6640625,11260.625,10828.1953125,12634.546875,12127.15625
2022,9732.390625,9711.1640625,11762.453125,6675.3046875,8481.40625,13299.3125,11609.6328125,10883.8828125,12875.3125,12192.0546875
2023,10078.640625,9783.6015625,11871.4453125,6755.1484375,8667.34375,13561.640625,11886.8515625,10933.953125,13046.703125
