year,MinRWBIL01_,MinRWBIL02_,MinRWBIL04_,MinRWBIL06_,MinRWBIL07_,MinRWBIL10_,MinRWBIL11_,MinRWBIL13_,MinRWBIL14_,MinRWBIL16_
2005,538.4375,269.6640625,498.046875,340.3671875,495.546875,363.296875,492.4453125,333.4140625,457.109375,213.5546875
2006,485.953125,152.078125,254.65625,255.640625,302.75,321.765625,491.5234375,196.28125,271.515625,109.2890625
2007,490.6328125,178.5703125,319.1328125,250.5625,331.9609375,376.6796875,560.7734375,176.796875,360.9765625,156.484375
2008,440.3046875,120.28125,279.3828125,157.375,295.8046875,372.546875,490.234375,178.6015625,225.3359375,137.453125
2009,337.9609375,123.1171875,217.265625,122.8671875,260.375,300.03125,384.140625,113.5390625,208.765625,97.1796875
2010,658.2265625,185.4140625,336.25,297.921875,422.1796875,457.6015625,888.859375,178.15625,371.390625,184.8046875
2011,527.0078125,176.8046875,326.6796875,270.046875,244.8515625,336.0234375,706.296875,266.6875,315.6953125,129.5390625
2012,479.2421875,196.6875,269.2421875,201.578125,267.4140625,334.59375,580.515625,236.5078125,341.3671875,133.0625
2013,332.3671875,105.2109375,131.7265625,20.40625,211.3359375,226.609375,293.4765625,66.8203125,79.546875,1.3203125
2014,292.15625,60.125,85.8046875,81.8359375,154.0390625,271.3515625,222.9375,12.9375,213.5546875,49.0703125
2015,564.875,148.96875,236.453125,172.53125,311.5390625,366.8125,400.5078125,166.2421875,294.7890625,129.4453125
2016,564.515625,116.671875,259.4375,152.015625,323.5703125,427.1953125,472.3671875,159.546875,287.6171875,68.0390625
2017,661.7265625,118.0703125,396.0859375,322.6171875,507.0859375,710.0703125,631.6953125,136.21875,497.53125,29.640625
2018,536.671875,145.890625,262.1328125,232.8515625,439.4765625,716.3203125,598.171875,159.125,404,85.453125
2019,649.71875,109.640625,281.5078125,198.4296875,327.9765625,651.515625,560.71875,94.2421875,390.890625,80.015625
2020,471.15625,131.28125,178.3984375,170.40625,277.5703125,536.484375,479.15625,111.015625,271.421875,82.2421875
2021,547.7734375,156.4765625,250.1640625,115.4453125,323.3046875,630.265625,522.515625,165.359375,372.109375,84.875
2022,346.5390625,62.328125,186.4921875,81.4453125,177.265625,288.9921875,277.1875,39.3515625,213.828125,51.75
2023,323.1171875,55.3671875,89.28125,48.7890625,125.6796875,241.671875,224.984375,26.1171875,149.1171875
