year,MRWBIL01_,MRWBIL02_,MRWBIL04_,MRWBIL06_,MRWBIL07_,MRWBIL10_,MRWBIL11_,MRWBIL13_,MRWBIL14_,MRWBIL16_
1936,587.116455078125,202.60472106933594,641.4071655273438,268.2735900878906,308.82049560546875,370.4742431640625,640.728515625,194.44204711914062,289.0785827636719,321.95770263671875
1937,958.180419921875,442.8126525878906,931.5713500976562,494.3849792480469,479.95257568359375,370.2319641113281,800.6189575195312,482.0542907714844,409.92010498046875,643.725830078125
1938,1269.3125,426.8738708496094,901.8729248046875,414.91192626953125,466.13726806640625,363.9956970214844,626.7095947265625,396.228271484375,351.44525146484375,668.8821411132812
1939,1091.7958984375,560.2730102539062,1129.6429443359375,597.42138671875,627.9518432617188,577.1765747070312,773.6791381835938,899.8931274414062,758.5302124023438,746.0323486328125
1940,1006.4495849609375,661.1371459960938,1166.262451171875,617.3406982421875,904.0357666015625,861.06201171875,1021.5191650390625,1364.138427734375,806.4535522460938,895.0532836914062
1941,1288.6964111328125,689.0431518554688,1086.154541015625,705.5087890625,895.4072265625,651.802978515625,1132.7857666015625,1305.9619140625,637.037841796875,1111.35888671875
1942,836.738037109375,430.6875305175781,590.5071411132812,440.789794921875,600.425048828125,572.5725708007812,810.735107421875,617.1583251953125,668.5599975585938,658.5859985351562
1943,1081.1810302734375,625.3778076171875,788.161376953125,582.8475952148438,735.4851684570312,918.3084716796875,1013.0892944335938,826.4654541015625,505.8468322753906,964.7635498046875
1944,1128.6058349609375,694.15087890625,949.0878295898438,784.2913818359375,928.1378173828125,828.3873291015625,1051.587890625,947.0166625976562,463.3897399902344,821.9280395507812
1945,961.5457153320312,654.5,599.6182250976562,157.9453125,778.2337646484375,749.5529174804688,668.6580200195312,647.5782470703125,442.2669982910156,587.5311279296875
1946,628.1727294921875,313.09320068359375,314.02655029296875,324.0316467285156,539.21875,532.799072265625,475.7368469238281,365.994140625,292.3711853027344,310.5924072265625
1947,1098.2677001953125,544.6195678710938,737.1735229492188,718.8804931640625,644.3593139648438,721.0353393554688,691.87548828125,785.1392822265625,625.7777099609375,589.779296875
