year,DradBIL01_,DradBIL02_,DradBIL04_,DradBIL06_,DradBIL07_,DradBIL10_,DradBIL11_,DradBIL13_,DradBIL14_,DradBIL16_
1958,37.33879470825195,23.98084831237793,35.05169677734375,24.66912269592285,26.131574630737305,30.600997924804688,23.37428092956543,38.8178596496582,32.236209869384766,29.259422302246094
1959,34.664306640625,28.503000259399414,37.027164459228516,25.74053192138672,28.24015998840332,27.31401252746582,26.620792388916016,34.27965545654297,22.0444278717041,33.90769958496094
1960,32.860382080078125,28.53685760498047,33.57134246826172,33.23365783691406,26.218961715698242,31.50006866455078,22.41887855529785,38.622859954833984,32.94273376464844,36.115623474121094
1961,29.072877883911133,23.445127487182617,27.86037826538086,23.49457359313965,25.1572265625,25.86566162109375,21.720129013061523,29.58808708190918,27.426591873168945,24.90684700012207
1962,30.725452423095703,23.542308807373047,25.25029754638672,22.9965763092041,22.841026306152344,26.385997772216797,25.15875244140625,28.136186599731445,20.66524314880371,28.204517364501953
1963,28.982519149780273,21.11598014831543,26.656070709228516,24.811031341552734,22.5361328125,25.115758895874023,23.38526725769043,30.69221305847168,20.974098205566406,24.769214630126953
1964,31.893383026123047,22.1826229095459,34.57530975341797,26.11061668395996,21.78352928161621,31.029706954956055,28.28387451171875,28.887771606445312,29.166847229003906,25.648866653442383
1965,34.00205993652344,25.08521270751953,35.141605377197266,27.110530853271484,27.09209442138672,29.5530948638916,26.027597427368164,31.960708618164062,24.653400421142578,29.343124389648438
1966,29.169235229492188,21.205636978149414,27.204011917114258,21.99925422668457,23.46393394470215,26.797176361083984,22.51616096496582,30.99039077758789,29.086565017700195,23.980871200561523
1967,28.068681716918945,20.696287155151367,29.010547637939453,21.695144653320312,23.23148536682129,25.449132919311523,21.087020874023438,28.564533233642578,26.59473419189453,25.188154220581055
1968,29.853845596313477,19.116912841796875,33.64997482299805,22.387067794799805,25.83541488647461,27.762784957885742,25.159582138061523,31.270843505859375,27.05190086364746,29.20561981201172
1969,30.381383895874023,16.432058334350586,26.395160675048828,24.791894912719727,20.53986167907715,28.991716384887695,20.08641242980957,30.27329444885254,23.971813201904297,22.29319953918457
1970,30.30634880065918,22.395837783813477,33.83049011230469,26.88764762878418,27.795757293701172,34.90265655517578,26.655467987060547,31.21564292907715,21.024150848388672,28.12555694580078
1971,29.374095916748047,14.587923049926758,29.461278915405273,26.129581451416016,26.578336715698242,22.213973999023438,22.796594619750977,30.068912506103516,29.866331100463867,25.4973087310791
1972,27.140756607055664,17.64264678955078,29.656394958496094,22.15592384338379,23.107131958007812,21.088504791259766,20.199644088745117,30.097341537475586,21.243587493896484,24.432472229003906
1973,22.03325843811035,22.304035186767578,25.811111450195312,18.884456634521484,21.44980812072754,20.59244728088379,21.46517562866211,26.808988571166992,23.122142791748047,24.79124641418457
1974,29.444860458374023,28.136463165283203,28.27959632873535,24.543916702270508,20.372037887573242,22.28728485107422,25.399492263793945,29.860353469848633,28.172252655029297,28.007991790771484
1975,32.68672561645508,24.047588348388672,35.6138916015625,21.388744354248047,25.539854049682617,23.48578643798828,20.821422576904297,33.05033493041992,31.573469161987305,32.3589973449707
1976,33.09126281738281,21.056827545166016,32.59095764160156,22.052946090698242,28.76557731628418,23.935461044311523,25.55324363708496,29.49627113342285,28.11897850036621,29.06774139404297
1977,34.83562088012695,28.446359634399414,35.21983337402344,26.05141830444336,29.31529998779297,23.68492889404297,25.13292694091797,36.356300354003906,35.317481994628906,35.01521682739258
1978,35.23158264160156,23.6325626373291,34.28340148925781,22.28388023376465,26.132137298583984,22.702028274536133,23.70144271850586,31.642118453979492,31.198532104492188,28.639400482177734
1979,35.50702667236328,26.30741310119629,35.664798736572266,28.850465774536133,30.40144157409668,21.319095611572266,25.335920333862305,33.343658447265625,34.35136795043945,27.05893898010254
1980,35.33369064331055,21.8658390045166,30.035314559936523,25.32897186279297,29.910261154174805,20.612316131591797,39.60508346557617,31.325353622436523,35.1203727722168,29.68817710876465
1981,27.880447387695312,22.19415855407715,22.422813415527344,27.838708877563477,23.564346313476562,18.09646224975586,27.908008575439453,27.366647720336914,34.66176223754883,24.480480194091797
1982,30.276094436645508,24.15260887145996,28.566503524780273,23.710084915161133,28.167556762695312,19.678836822509766,31.064939498901367,27.961469650268555,32.4349250793457,26.993186950683594
1983,29.891759872436523,26.124446868896484,32.8646125793457,15.860039710998535,24.92905616760254,21.640403747558594,29.836021423339844,28.081676483154297,28.438077926635742,31.791748046875
1984,33.24723434448242,30.723140716552734,34.76645278930664,26.77728271484375,31.38129234313965,21.525272369384766,28.55278205871582,32.30451202392578,24.86500358581543,30.998123168945312
1985,32.36124038696289,20.235637664794922,31.943920135498047,17.835739135742188,26.670955657958984,17.072738647460938,18.793075561523438,31.59920883178711,20.19657325744629,19.969348907470703
1986,30.680341720581055,20.732446670532227,33.63489532470703,18.97014808654785,25.19655990600586,18.885515213012695,22.377458572387695,29.13469123840332,20.341228485107422,25.863733291625977
1987,34.16957092285156,22.801719665527344,21.61220932006836,19.71963119506836,27.3812313079834,17.985246658325195,20.606433868408203,23.747804641723633,24.0219669342041,25.494909286499023
1988,34.40291213989258,24.32288360595703,37.92881393432617,28.56545066833496,26.794174194335938,18.42121696472168,23.45752716064453,31.854351043701172,25.591215133666992,28.453895568847656
1989,32.785221099853516,25.208295822143555,32.877403259277344,23.3908634185791,26.482473373413086,17.075225830078125,23.139219284057617,30.316390991210938,26.708101272583008,24.692279815673828
1990,34.94732666015625,27.375225067138672,34.12640380859375,25.828489303588867,33.67158889770508,17.229936599731445,26.764495849609375,28.35297203063965,31.867042541503906,27.405244827270508
1991,34.86553955078125,29.665847778320312,39.325260162353516,24.33091163635254,31.355649948120117,19.19297981262207,25.22153091430664,33.858314514160156,24.41852378845215,29.91071128845215
1992,28.459121704101562,16.42448616027832,24.934167861938477,20.665891647338867,27.28447151184082,15.71044635772705,20.00779151916504,7.342288017272949,22.15875244140625,13.159857749938965
1993,31.646514892578125,23.130332946777344,30.220306396484375,8.760175704956055,26.179662704467773,12.699524879455566,16.479888916015625,18.429365158081055,13.947511672973633,19.242294311523438
1994,35.689735412597656,26.456632614135742,36.1524658203125,28.67732048034668,31.007518768310547,13.98273754119873,27.599950790405273,31.821117401123047,26.355165481567383,29.27786636352539
1995,35.54866409301758,27.744504928588867,35.12837600708008,25.117393493652344,31.633241653442383,13.666756629943848,24.28412437438965,28.31615447998047,28.491243362426758,28.89510726928711
1996,28.636783599853516,23.44131088256836,27.75979232788086,18.04926300048828,26.979673385620117,13.906457901000977,20.488142013549805,21.815139770507812,20.87839126586914,17.965524673461914
1997,33.77396774291992,30.009904861450195,38.206295013427734,27.632171630859375,31.726680755615234,11.910813331604004,23.504032135009766,31.970399856567383,27.327457427978516,31.917572021484375
1998,33.87831497192383,25.134193420410156,32.73063278198242,25.24424171447754,31.73830795288086,13.200766563415527,22.246219635009766,34.52949142456055,27.5335750579834,25.140453338623047
1999,29.07443618774414,27.00507354736328,31.78912353515625,20.642711639404297,26.344104766845703,14.54404067993164,22.64932632446289,29.427404403686523,23.77777099609375,28.386829376220703
