year,Ks*BIL01_,Ks*BIL02_,Ks*BIL04_,Ks*BIL06_,Ks*BIL07_,Ks*BIL10_,Ks*BIL11_,Ks*BIL13_,Ks*BIL14_,Ks*BIL16_
1937,0.012637687180748952,0.012987367058820325,0.009054116184153558,0.010947018218292507,0.008702880607711747,0.009408536529654203,0.012825707759604486,0.014077348987438955,0.012377282646738454,0.010269604939169922
1938,0.015183742687961875,0.010984038523234329,0.006789192037033,0.00710622942749118,0.007174022860687092,0.006780087653383028,0.009788977261367751,0.013820342322635898,0.008435058252051097,0.007484034452863993
1939,0.014647290273900382,0.007761520344313212,0.0096839915185357,0.008170183839227236,0.008933329021009613,0.010349126918118994,0.011759436779546776,0.00941787600030855,0.0069521645575274255,0.008798608185792013
1940,0.015469768197525265,0.009860102419277539,0.009405405609821248,0.008959504359240754,0.009487185998835617,0.012339641753186836,0.01310112909915693,0.011098466432580377,0.006792560728508053,0.009765462013435656
1941,0.012027527406873746,0.010856807693383387,0.0075304893551404305,0.009539760779634558,0.008655347141905549,0.008496760531957978,0.013700921368944966,0.01181019603568415,0.01262190213661445,0.011483746187026196
1942,0.01608193845481571,0.010017651697373111,0.010104359821091154,0.008958590992504529,0.010418597656609218,0.008029297981258775,0.013329709904235546,0.014734457473079061,0.012304720480119859,0.010181038516547655
1943,0.018284867315104696,0.011343183055230343,0.011393446400328742,0.01161764806278262,0.01058112245690341,0.011530470975526215,0.013136647095405397,0.014065243158140393,0.014651765368523912,0.013841022225158421
1944,0.013614290655222131,0.009069837766336512,0.010445819566896445,0.007188015612059983,0.011120714500423718,0.009856542276076425,0.012645603000572379,0.01590857473388481,0.009280339273272464,0.014015263072342249
1945,0.013561920558230727,0.007938566768561695,0.010194916502571882,3.503754370526957e-8,0.010267931408251309,0.009500082617651858,0.010468289876714117,0.014027223532052725,0.009433396128941793,0.017067085451907597
1946,0.017909943116598135,0.01651660122834724,0.013291356325021543,0.011316240451929478,0.009332531916362118,0.008352436429858945,0.013867419220984877,0.012806861632205112,0.01005999096175472,0.014648532146157531
1947,0.01986947085208445,0.017866036301169067,0.014160642820040627,0.011036133535542747,0.012638953832224646,0.011887674204559332,0.016381015741153974,0.017605008639415585,0.01342929698659391,0.018260411056650536
1948,0.017523053468797633,0.017312701873660595,0.014231670604237398,0.011652427642533375,0.01096250272949086,0.01361436597400538,0.01599401355493269,0.016717939746378016,0.00784036336117862,0.01588577359043872
1949,0.016299913925147774,0.015635275386761894,0.011981013936347646,0.009510703098368737,0.010199835677652827,0.013836339014906543,0.014128136660864541,0.01582887064114036,0.006907103612952737,0.013882625776960032
1950,0.016583712571705374,0.009147643725056689,0.009837274685950255,0.010101228642543938,0.00943870841983041,0.00809027016964254,0.01220810232279296,0.01506557802378031,0.007401187363337883,0.010759245273946045
1951,0.013734915708629261,0.013026473140191805,0.010237352687734187,0.006723028100246361,0.008761651442693894,0.008981920329468582,0.011292482203693754,0.007864713105236995,0.006575104577760441,0.009413269058776408
1952,0.017908520242995864,0.01705952731744652,0.011050826883829681,0.010452754385319533,0.008918978979295939,0.011617924665568054,0.007496644327764744,0.007803401948169328,0.008531769508930618,0.012342898279077733
1953,0.017710979700767286,0.016161058268302053,0.012506301487388087,0.011599807677015959,0.009869581866867996,0.010694262125585285,0.011810181498129629,0.005585666461199306,0.007536399456610152,0.014655779492407222
1954,0.02011285512954879,0.015511362902512357,0.013433355403741971,0.009802174164942166,0.010957586670559676,0.012019547724880305,0.013197507268211419,0.0059044040283917285,0.010267644654712277,0.012594736448404543
1955,0.018792160781235412,0.01791652780033598,0.01550710727639746,0.009336013236921736,0.010842174617379437,0.013430551156376142,0.012242848163514213,0.006934880139702475,0.01103750952318726,0.012949156915401862
1956,0.016850995903629765,0.016743267801473668,0.01706028419347752,0.009057897133525386,0.009873498226829026,0.012966976181503732,0.013704684477271098,0.0069817132683344316,0.011247406231246334,0.014542172579530171
1957,0.021340472194908304,0.018295158070812764,0.023097103084576544,0.010570581053830836,0.011549462412051181,0.01460547560970793,0.016477859402381494,0.009562218285327426,0.01190406320195324,0.014473248335797061
1958,0.02093045095747001,0.01781511454824943,0.020328837904492223,0.00917585122587629,0.011074856253850665,0.01583551196644931,0.012781314864032707,0.008667192312488671,0.012791258198021727,0.01466842969344653
1959,0.018267315155732964,0.018479287185902214,0.01955526329837935,0.009273638242866691,0.012324844073237744,0.013924981491594551,0.014028267037276915,0.010050620288670908,0.006464373432048221,0.015664723169595763
1960,0.017050596654907716,0.015187591990888127,0.01722060510024946,0.011290788439332743,0.01138934496360029,0.015340027446196525,0.010216195594270823,0.008992578606941913,0.01186263338080367,0.015539889868447874
1961,0.016714158270003887,0.014569190009770127,0.016616042696607304,0.009696280758707342,0.013227747225352412,0.011996834702494803,0.010666800732884174,0.009088789458561303,0.008258471870760752,0.012518461385220147
1962,0.01646238188552934,0.016159765563799028,0.015950719172301057,0.009981872441816975,0.010216718923979127,0.013128787026170189,0.014272795695386295,0.008402998856770542,0.006703542750110562,0.01440530905799129
1963,0.016627286883126615,0.014829469980143754,0.015616924020361397,0.01176848757169451,0.00959940533369353,0.012045180282964944,0.012775632640082002,0.008475185887609187,0.009288974125176878,0.011401500677683295
1964,0.019505766449265882,0.014099157773612394,0.018047193874366083,0.009474229620146817,0.009270401977644591,0.014857349143081964,0.015199037829027727,0.010806744079104763,0.010480857316822861,0.0119405244262255
1965,0.021156491901264958,0.015616437613860945,0.01656295923467748,0.013638032809285699,0.012880961653565113,0.013971115047869524,0.012780372539073834,0.011886566186908067,0.009377930495478293,0.013832714703551742
