year,CWTbaBIL01_,CWTbaBIL02_,CWTbaBIL04_,CWTbaBIL06_,CWTbaBIL07_,CWTbaBIL10_,CWTbaBIL11_,CWTbaBIL13_,CWTbaBIL14_,CWTbaBIL16_
1960,3.8418562412261963,4.14116907119751,3.7611546516418457,4.081521987915039,3.9187986850738525,4.542746543884277,5.127004146575928,4.700088977813721,5.362014293670654,3.1095120906829834
1961,3.689736843109131,3.683297872543335,2.864564895629883,3.862990140914917,3.0765788555145264,5.21679162979126,4.411374568939209,3.5738449096679688,5.196211338043213,3.007303476333618
1962,3.9657206535339355,4.107431888580322,3.0859968662261963,4.9616546630859375,4.40351676940918,4.521354675292969,4.124016284942627,5.3753342628479,6.321741580963135,3.18481183052063
1963,3.898634433746338,3.9925389289855957,3.533946990966797,4.421957969665527,4.257066249847412,4.210305690765381,4.686196804046631,4.907154083251953,5.7208991050720215,3.20515775680542
1964,3.9943666458129883,4.138591766357422,3.9379355907440186,4.839024066925049,4.296856880187988,4.179574012756348,4.137893199920654,4.979965686798096,5.3575944900512695,3.9236361980438232
1965,3.6841814517974854,3.3249399662017822,3.114252805709839,3.688171863555908,3.718981981277466,3.609476089477539,3.934757947921753,4.407484531402588,5.257723808288574,3.0175623893737793
1966,3.7341482639312744,4.081817150115967,3.4987106323242188,4.088734149932861,3.6896212100982666,4.0892653465271,4.152317047119141,4.542935848236084,4.469963550567627,3.7080745697021484
1967,4.054721832275391,4.192941188812256,3.803055763244629,4.574302673339844,3.9863123893737793,4.3672871589660645,4.351293563842773,4.830774307250977,5.097257614135742,3.3100414276123047
1968,4.442764759063721,5.68850564956665,3.9747049808502197,5.068938732147217,4.477367877960205,4.176661014556885,4.23826265335083,4.953009605407715,5.549350738525391,3.830850601196289
1969,4.425114631652832,5.9715471267700195,4.243745803833008,5.02575159072876,4.869366645812988,4.275415897369385,5.2559590339660645,5.2493367195129395,5.734649181365967,5.113417625427246
1970,3.5941147804260254,4.264736652374268,3.325021982192993,4.209313869476318,3.4425928592681885,3.289410352706909,4.076388359069824,4.836087226867676,5.433918476104736,3.2727086544036865
1971,3.788649320602417,6.006140232086182,3.8421413898468018,4.857429027557373,3.7915432453155518,3.9014623165130615,4.554388046264648,4.094918727874756,4.85272216796875,4.3001580238342285
1972,3.9754638671875,4.773709774017334,3.9619791507720947,5.463998794555664,3.7525243759155273,4.066824436187744,5.342806816101074,4.657399654388428,5.427517890930176,3.7880940437316895
1973,3.4728469848632812,4.438015937805176,4.210031986236572,5.208418846130371,3.857698917388916,3.9460721015930176,4.408275604248047,5.070077419281006,4.646337509155273,3.589308500289917
1974,3.7878689765930176,4.067383289337158,4.6141037940979,5.688313007354736,4.501860618591309,4.185307502746582,4.925745010375977,5.232756614685059,4.516493320465088,3.7527010440826416
1975,3.3498473167419434,4.012410640716553,3.9146530628204346,5.437384128570557,3.8007967472076416,3.661959171295166,4.803823947906494,4.549252510070801,4.177316188812256,3.373530387878418
1976,3.4975056648254395,3.9203953742980957,3.613133192062378,5.125957489013672,3.782447099685669,3.8574676513671875,4.2851128578186035,4.80958890914917,4.170775413513184,3.4923746585845947
1977,3.145598888397217,3.157949686050415,2.8918488025665283,4.5016093254089355,3.579258441925049,3.651522159576416,3.823274612426758,3.3790628910064697,3.2840263843536377,2.631075620651245
1978,3.4420077800750732,4.808172702789307,4.043889999389648,5.21293306350708,4.35236120223999,4.257248878479004,4.851797103881836,4.377060890197754,4.332805633544922,4.547499656677246
1979,3.7581827640533447,3.8413703441619873,3.7229912281036377,4.890104293823242,4.7965803146362305,4.01370096206665,4.788842678070068,4.569985389709473,3.812473773956299,4.030109405517578
1980,3.948535442352295,4.605863094329834,4.224319934844971,4.963625431060791,4.6261115074157715,4.126590251922607,4.317493915557861,4.57598352432251,3.8765034675598145,3.4626412391662598
1981,3.968395709991455,3.841719150543213,4.174773216247559,4.770690441131592,4.842238426208496,4.545727252960205,4.054662704467773,4.5343122482299805,3.5479915142059326,3.590229034423828
1982,3.202869176864624,3.0506184101104736,2.6178536415100098,4.625985145568848,3.9731996059417725,4.148562431335449,2.7193474769592285,3.017733097076416,3.4202210903167725,2.8847739696502686
1983,3.927194595336914,3.6589102745056152,4.0082902908325195,5.647964000701904,4.772593021392822,4.081718444824219,4.243989944458008,4.654840469360352,3.8202297687530518,3.504892587661743
1984,3.672990083694458,3.327970027923584,3.575819730758667,4.334502696990967,4.3450446128845215,3.9054129123687744,3.558178663253784,3.668044090270996,3.249817371368408,3.472263813018799
1985,4.137018203735352,5.564489841461182,4.599374294281006,6.2494988441467285,4.96859073638916,5.197262763977051,5.2396464347839355,4.466475009918213,6.226531505584717,5.304521083831787
1986,4.348759174346924,3.6209936141967773,3.307420015335083,4.455198287963867,4.311545372009277,4.3050689697265625,4.562018394470215,4.209311485290527,5.127613067626953,3.5804474353790283
1987,3.349006175994873,3.7736587524414062,2.396692991256714,3.702199697494507,3.7725439071655273,4.825993537902832,3.673776865005493,3.554882049560547,4.202186584472656,3.158823013305664
