year,DtanBIL01_,DtanBIL02_,DtanBIL04_,DtanBIL06_,DtanBIL07_,DtanBIL10_,DtanBIL11_,DtanBIL13_,DtanBIL14_,DtanBIL16_
1929,22.638517379760742,22.729022979736328,23.01571273803711,22.69879722595215,17.03351593017578,23.227224349975586,19.069244384765625,22.555072784423828,19.367979049682617,18.69564437866211
1930,25.49551010131836,23.40934944152832,19.628969192504883,25.118196487426758,19.901336669921875,23.51854133605957,22.18198013305664,23.991771697998047,21.370676040649414,19.451950073242188
1931,22.910768508911133,22.885290145874023,16.07263946533203,24.682016372680664,16.927080154418945,23.754825592041016,19.252662658691406,19.57815170288086,20.191755294799805,19.256866455078125
1932,25.667688369750977,24.510292053222656,17.237525939941406,23.466236114501953,20.126924514770508,25.20169448852539,20.463163375854492,21.335432052612305,20.564435958862305,19.890636444091797
1933,20.019298553466797,21.053010940551758,16.593759536743164,22.458337783813477,16.14475440979004,25.350976943969727,17.884540557861328,18.416160583496094,16.703550338745117,17.565263748168945
1934,20.89048194885254,21.94130516052246,16.356603622436523,19.74974822998047,15.134367942810059,24.050933837890625,17.865154266357422,17.55608367919922,15.89981460571289,17.768333435058594
1935,23.227394104003906,23.530170440673828,17.624080657958984,23.047996520996094,17.951589584350586,23.82956886291504,20.0520076751709,21.1148681640625,20.270729064941406,19.74285316467285
1936,24.29340362548828,26.58792495727539,19.49337387084961,23.384971618652344,19.90752601623535,21.816226959228516,21.88774299621582,24.671579360961914,23.682159423828125,22.903650283813477
1937,21.512117385864258,22.81434440612793,18.06727409362793,24.151065826416016,17.53049087524414,24.47301483154297,21.371726989746094,20.343786239624023,21.004005432128906,20.59724998474121
1938,22.0814151763916,22.174360275268555,18.109668731689453,22.779695510864258,17.513011932373047,21.5502986907959,21.26470375061035,19.625804901123047,20.46766471862793,18.58256721496582
1939,23.460458755493164,19.184242248535156,17.30711555480957,22.7381649017334,19.286373138427734,22.048791885375977,22.19314956665039,16.420433044433594,18.91222381591797,19.77324676513672
1940,22.250776290893555,21.713111877441406,17.671865463256836,22.413599014282227,18.184419631958008,21.825843811035156,22.202425003051758,16.90757179260254,18.52092170715332,19.58234214782715
1941,21.161300659179688,23.587854385375977,17.713611602783203,24.06133270263672,17.467796325683594,19.72869110107422,21.425230026245117,18.076162338256836,23.556827545166016,21.962251663208008
1942,23.726337432861328,22.517559051513672,21.577213287353516,22.716354370117188,18.78189468383789,19.49080467224121,21.635656356811523,20.839805603027344,25.550371170043945,23.64834213256836
1943,23.047380447387695,19.841012954711914,19.681230545043945,24.469560623168945,18.50506019592285,19.427200317382812,23.078466415405273,19.045093536376953,24.604158401489258,19.583967208862305
1944,21.466279983520508,20.74862289428711,19.18323516845703,22.02979278564453,20.13460350036621,19.984886169433594,22.86406135559082,20.974428176879883,21.31743812561035,20.78446388244629
1945,21.807783126831055,20.14299201965332,19.262319564819336,7.393436431884766,19.402502059936523,19.4863338470459,23.79374885559082,19.418642044067383,21.373249053955078,22.29987907409668
1946,24.618465423583984,25.761831283569336,22.848636627197266,20.559005737304688,18.30062484741211,20.77791976928711,25.167037963867188,21.853321075439453,22.07853889465332,22.552446365356445
1947,24.869718551635742,23.98736000061035,22.705232620239258,19.085569381713867,18.96048355102539,21.905637741088867,25.63341522216797,22.840009689331055,23.207460403442383,23.814342498779297
1948,23.540115356445312,25.562551498413086,22.898622512817383,20.630918502807617,18.55327033996582,22.727827072143555,25.68255043029785,22.89736557006836,18.679439544677734,22.726476669311523
1949,22.810546875,26.242727279663086,21.621843338012695,21.04853630065918,18.36797332763672,24.20599937438965,23.992748260498047,22.76906967163086,19.021196365356445,22.940214157104492
1950,23.784406661987305,26.426414489746094,21.716718673706055,22.572322845458984,19.416637420654297,22.240615844726562,25.031864166259766,22.919052124023438,20.0111026763916,21.768293380737305
1951,20.875965118408203,21.604839324951172,20.428489685058594,19.122936248779297,15.800981521606445,21.86069679260254,21.060592651367188,19.284753799438477,19.108556747436523,18.574338912963867
1952,24.039974212646484,24.443164825439453,21.11722755432129,23.566761016845703,17.097185134887695,22.786521911621094,20.439708709716797,25.294260025024414,22.176767349243164,22.165712356567383
1953,25.403554916381836,24.939420700073242,21.597869873046875,22.81431770324707,18.198034286499023,22.962724685668945,22.44231414794922,22.554298400878906,22.622695922851562,23.350854873657227
1954,26.227012634277344,24.392555236816406,22.986221313476562,20.81732940673828,18.174835205078125,24.501365661621094,24.728315353393555,24.338054656982422,22.039661407470703,21.6195068359375
1955,25.641746520996094,25.586849212646484,23.451452255249023,21.411916732788086,18.888484954833984,22.690879821777344,23.495655059814453,22.956247329711914,24.03348159790039,21.942121505737305
1956,23.844432830810547,23.788488388061523,23.59547996520996,20.026294708251953,17.89501190185547,22.435611724853516,22.759265899658203,23.27371597290039,22.967567443847656,21.647672653198242
1957,25.56974220275879,26.650659561157227,27.446941375732422,23.408464431762695,19.819805145263672,24.237579345703125,25.05445671081543,24.994047164916992,24.02482795715332,23.488950729370117
1958,25.060775756835938,24.021883010864258,23.2999210357666,19.427629470825195,19.040084838867188,23.922880172729492,22.06914710998535,23.257009506225586,25.53846549987793,22.070842742919922
1959,24.598068237304688,24.936025619506836,23.018978118896484,19.73944854736328,19.310203552246094,24.392492294311523,24.882904052734375,22.9189395904541,18.995058059692383,23.393665313720703
1960,24.029617309570312,26.448965072631836,22.91551399230957,22.688108444213867,19.4449520111084,23.795759201049805,21.62375831604004,21.855260848999023,26.071706771850586,25.296367645263672
1961,24.977258682250977,25.516782760620117,24.49425506591797,21.875547409057617,20.973819732666016,22.100217819213867,21.48203468322754,23.993854522705078,25.40140151977539,23.147611618041992
1962,23.447031021118164,24.24073028564453,24.573856353759766,18.64491081237793,17.429502487182617,22.19246482849121,23.367183685302734,20.704998016357422,19.611238479614258,23.064815521240234
1963,23.707210540771484,24.13060188293457,23.543359756469727,22.06012535095215,18.247093200683594,22.9578914642334,23.5463809967041,21.362083435058594,21.93560028076172,23.425745010375977
1964,24.795120239257812,23.36335563659668,22.640869140625,20.34620475769043,18.021953582763672,23.670913696289062,24.899038314819336,21.9883975982666,25.766563415527344,20.832204818725586
1965,25.858020782470703,25.461599349975586,22.719148635864258,22.287935256958008,19.945186614990234,24.999814987182617,23.01487922668457,22.21072006225586,22.629077911376953,22.32442283630371
1966,24.211633682250977,24.068195343017578,22.509435653686523,19.50661849975586,19.552141189575195,22.76435661315918,21.620227813720703,21.135475158691406,24.834604263305664,21.265966415405273
1967,24.124225616455078,23.440153121948242,21.94533348083496,18.38747215270996,19.122262954711914,22.283802032470703,21.876514434814453,20.28879737854004,24.82852554321289,21.460365295410156
1968,23.455556869506836,18.834035873413086,21.609214782714844,20.05796241760254,19.633075714111328,22.918766021728516,24.13457679748535,20.8620548248291,23.335277557373047,20.950576782226562
1969,24.23663330078125,16.358251571655273,19.71617317199707,19.319927215576172,17.937362670898438,22.916282653808594,22.840423583984375,20.193988800048828,21.416770935058594,18.71454429626465
1970,25.607526779174805,19.791114807128906,24.066099166870117,22.08594512939453,20.957202911376953,27.52000617980957,26.1915225982666,23.219615936279297,20.904905319213867,24.373991012573242
1971,24.15757942199707,16.40194320678711,22.598695755004883,21.468788146972656,20.082969665527344,23.205333709716797,22.935409545898438,24.043970108032227,23.425447463989258,21.377277374267578
