year,Dh2BIL01_,Dh2BIL02_,Dh2BIL04_,Dh2BIL06_,Dh2BIL07_,Dh2BIL10_,Dh2BIL11_,Dh2BIL13_,Dh2BIL14_,Dh2BIL16_
1954,31.73371124267578,29.50617218017578,27.880125045776367,26.161897659301758,25.206640243530273,29.14028549194336,28.93623161315918,27.923534393310547,27.393184661865234,27.397005081176758
1955,32.161258697509766,31.297874450683594,30.30565071105957,27.709678649902344,24.860061645507812,29.570409774780273,28.171741485595703,28.54161834716797,28.14737892150879,28.807605743408203
1956,30.857898712158203,29.973722457885742,31.834035873413086,26.90910530090332,25.233198165893555,29.250295639038086,29.067138671875,30.159982681274414,28.371923446655273,28.75644302368164
1957,32.64896011352539,32.34867858886719,34.77156066894531,28.680286407470703,27.015548706054688,30.795181274414062,31.70018768310547,31.01148223876953,29.336301803588867,29.57193946838379
1958,33.208274841308594,31.081501007080078,32.942195892333984,27.142871856689453,26.454715728759766,31.5976505279541,28.942808151245117,31.077136993408203,30.819957733154297,29.59223175048828
1959,32.395755767822266,33.04057693481445,32.39762878417969,26.988786697387695,27.044946670532227,31.066099166870117,31.32529640197754,30.87239646911621,25.522743225097656,31.093774795532227
1960,32.067867279052734,31.346912384033203,31.851070404052734,29.97840118408203,26.759807586669922,32.24365997314453,27.78037452697754,29.82551383972168,30.326393127441406,32.211246490478516
1961,30.633359909057617,29.388525009155273,29.372419357299805,26.36118507385254,26.872234344482422,28.887941360473633,27.073501586914062,27.929149627685547,27.98965835571289,27.0013427734375
1962,30.46804428100586,30.369918823242188,28.72446632385254,26.072315216064453,25.168581008911133,29.148059844970703,29.47983741760254,27.56339454650879,25.010879516601562,29.428585052490234
1963,30.23587417602539,28.767900466918945,30.168432235717773,27.797405242919922,24.76992416381836,28.31930160522461,28.503787994384766,28.003490447998047,26.229236602783203,27.936172485351562
1964,32.066097259521484,28.96617317199707,32.43559265136719,27.678646087646484,24.236772537231445,31.5517635345459,31.088029861450195,28.736528396606445,28.797834396362305,28.102367401123047
1965,33.23933792114258,30.509845733642578,30.63454818725586,28.963163375854492,26.777002334594727,30.68410301208496,28.71370506286621,29.08217430114746,27.060665130615234,28.6231632232666
1966,30.90109634399414,29.620861053466797,29.52084732055664,26.442415237426758,25.81900978088379,29.0151309967041,27.464391708374023,28.246395111083984,29.214622497558594,26.67164421081543
1967,30.786035537719727,28.517995834350586,30.11456298828125,25.60032081604004,25.90843391418457,28.560909271240234,26.016708374023438,27.4145565032959,28.151142120361328,26.806428909301758
1968,31.28973960876465,25.0987548828125,31.494319915771484,27.16938591003418,26.81437110900879,29.643386840820312,30.02293586730957,28.50432777404785,27.59904670715332,28.841506958007812
1969,31.644515991210938,22.44808006286621,28.812732696533203,27.665904998779297,24.68863868713379,31.145341873168945,27.39509391784668,27.93924331665039,25.681224822998047,25.8741397857666
1970,32.195919036865234,24.777816772460938,31.85704231262207,29.238801956176758,27.308530807495117,34.80731201171875,31.403087615966797,30.223526000976562,24.05702018737793,29.472963333129883
1971,30.874656677246094,20.72174072265625,31.089982986450195,28.960695266723633,27.218183517456055,28.049110412597656,28.495731353759766,29.777698516845703,28.245250701904297,28.046768188476562
1972,30.328645706176758,24.50251007080078,31.52560043334961,24.21048927307129,26.53144645690918,27.510250091552734,27.186555862426758,29.958324432373047,23.408794403076172,26.918838500976562
1973,27.616039276123047,26.91544532775879,29.357250213623047,24.420814514160156,25.701435089111328,26.518869400024414,27.831361770629883,28.42677879333496,25.772953033447266,26.001094818115234
1974,31.635242462158203,29.670207977294922,30.35729217529297,28.421894073486328,25.45244026184082,27.806324005126953,29.282695770263672,29.340599060058594,28.194528579711914,27.988155364990234
1975,32.97405242919922,28.88385772705078,32.10721969604492,26.3918399810791,27.976831436157227,28.481470108032227,26.445768356323242,30.165283203125,31.08915901184082,30.128080368041992
1976,33.78086853027344,28.621742248535156,31.447832107543945,27.613174438476562,28.553730010986328,26.556665420532227,29.767515182495117,28.678850173950195,30.284379959106445,28.29427719116211
1977,34.96875762939453,31.386310577392578,33.15534210205078,30.296154022216797,28.71314239501953,27.020822525024414,30.238000869750977,30.74273681640625,33.06972885131836,29.682817459106445
1978,35.503387451171875,29.739940643310547,34.59464645385742,29.233205795288086,28.495210647583008,26.8470458984375,30.14653778076172,28.834070205688477,31.175445556640625,28.404953002929688
1979,35.72053909301758,31.991140365600586,35.028587341308594,31.666044235229492,28.049686431884766,26.585256576538086,30.345144271850586,29.628276824951172,33.1405029296875,28.08330726623535
1980,35.57057189941406,29.102985382080078,32.27635192871094,29.919126510620117,28.128156661987305,25.416362762451172,34.791561126708984,29.037817001342773,32.87374496459961,28.763139724731445
1981,32.51953887939453,28.584850311279297,27.726057052612305,31.020139694213867,25.808706283569336,24.086467742919922,28.693954467773438,26.518207550048828,32.36033630371094,26.526445388793945
1982,33.81024932861328,28.591304779052734,28.81287384033203,25.761009216308594,26.949373245239258,25.25752067565918,29.862640380859375,27.122774124145508,31.41657829284668,27.490814208984375
1983,32.369056701660156,30.17510414123535,30.72150230407715,22.55877113342285,26.079408645629883,25.71152687072754,30.604455947875977,27.395307540893555,29.80011749267578,29.17857551574707
1984,34.75705337524414,31.032514572143555,32.23411178588867,30.73588752746582,28.388023376464844,27.139070510864258,31.354949951171875,28.874332427978516,27.1092586517334,29.263879776000977
1985,35.09259796142578,26.149038314819336,30.413923263549805,23.8341121673584,26.449039459228516,22.826248168945312,24.639272689819336,29.335033416748047,25.10123634338379,24.262048721313477
1986,32.86848449707031,26.55640411376953,31.173145294189453,24.34914207458496,26.515478134155273,23.625429153442383,26.059993743896484,29.614755630493164,25.457862854003906,24.601682662963867
1987,34.47174072265625,28.6152400970459,25.57196807861328,25.12557601928711,27.523998260498047,22.544837951660156,25.28851318359375,25.27520751953125,27.28794288635254,25.231382369995117
1988,32.8596305847168,28.446826934814453,33.39820098876953,28.70186424255371,26.693262100219727,23.347177505493164,27.2921199798584,30.077791213989258,27.04206657409668,26.771024703979492
1989,33.06224822998047,29.370384216308594,31.384584426879883,27.28093147277832,27.04159927368164,22.998865127563477,27.547657012939453,29.52543830871582,27.909543991088867,26.555665969848633
1990,35.1134033203125,30.940813064575195,32.82630920410156,28.954593658447266,30.33611297607422,23.771743774414062,29.708072662353516,29.580617904663086,30.711223602294922,28.26164436340332
1991,34.97282409667969,32.15767288208008,33.86819076538086,28.644309997558594,28.99224853515625,24.81842803955078,30.107337951660156,31.836156845092773,26.495895385742188,29.382593154907227
1992,31.32695198059082,24.707035064697266,28.379240036010742,26.43948745727539,28.134037017822266,22.933874130249023,27.52244758605957,10.36597728729248,26.661169052124023,17.740047454833984
1993,33.25027084350586,30.092605590820312,32.02812957763672,12.894651412963867,28.280967712402344,18.53348159790039,23.27960777282715,24.504276275634766,20.718385696411133,24.039155960083008
1994,35.33998107910156,31.617923736572266,34.72288131713867,30.86003875732422,30.40113639831543,20.52796745300293,30.20465850830078,31.24419593811035,29.793493270874023,29.680980682373047
1995,35.02693557739258,32.10567855834961,34.66944122314453,28.89476203918457,30.990352630615234,18.719881057739258,28.463964462280273,29.56389617919922,30.007932662963867,29.7211971282959
1996,32.71431350708008,30.423837661743164,31.098752975463867,23.964996337890625,28.84163475036621,19.106679916381836,26.314184188842773,25.860816955566406,27.27290916442871,22.62519073486328
