year,MinRWAPA06_,MinRWAPA07_,MinRWAPA08_,MinRWAPA09_,MinRWAPA10_,MinRWAPA11_,MinRWAPA13_,MinRWAPA15_,MinRWAPA17_,MinRWAPA19_
1906,134.140625,403.859375,526.109375,596.515625,537.8984375,244.0390625,136.484375,342,69.859375,828.71875
1907,99.4375,490.0703125,505.6796875,635.6875,392.5390625,145.953125,39.96875,350.578125,38.6484375,635.8203125
1908,80.0625,336.7109375,454.3359375,588.703125,311.3828125,212.578125,99.6953125,406.1953125,76.46875,582.265625
1909,58.375,483.0078125,491.25,591.390625,406.96875,205.515625,138.390625,391.25,30.53125,543.1953125
1910,43.59375,108.0390625,298.21875,234.0078125,270.65625,239.953125,141.140625,285.578125,42.5390625,384.703125
1911,-1.484375,258.2890625,328.7421875,320.734375,274.8984375,206.5234375,139.03125,416.03125,53.1328125,446.3671875
1912,71.1484375,324.828125,466.109375,468.1640625,353.4765625,171.515625,130.5703125,401.671875,46.125,452.828125
1913,49.171875,237.6640625,402.4375,490.625,355.84375,150.4375,101.078125,343.953125,88.5546875,482.3515625
1914,67.3359375,364.03125,550.6953125,523.953125,454.59375,206.3671875,85.5625,303.765625,75.2890625,492.34375
1915,132.8984375,406.4609375,541.734375,653.859375,452.8046875,290.8828125,28.5625,443.9375,57.9765625,581.1328125
1916,152.765625,328.609375,473.8359375,612,462.40625,230.7421875,46.921875,455.171875,77.484375,585.3515625
1917,66.6328125,246.109375,399.9140625,691.78125,430.53125,188.71875,129.1640625,392.1640625,103.3125,425.9375
1918,71.984375,224.4140625,362.1171875,499.8203125,350.515625,235.6015625,83.7734375,355.453125,104.609375,421.171875
1919,44.8984375,350.6796875,538.640625,566.96875,444.9140625,209.484375,146.8671875,451.6640625,93.2421875,532.5546875
1920,88.984375,308.96875,528.6640625,453.8203125,456.53125,277.578125,113.828125,365.109375,57.4296875,520.140625
1921,120.8671875,315.375,624.671875,585.453125,439.3984375,168.8671875,111.6484375,-49.828125,76.703125,544.4453125
1922,143.796875,452.4921875,641.484375,614.125,539.546875,272.34375,120.859375,594.765625,116.0078125,585.265625
1923,181.1171875,627.1328125,718.015625,603.9609375,595.1484375,299.265625,111.5078125,502.625,137.6015625,580.3828125
1924,204.8203125,765.515625,643.0859375,767.84375,601.8671875,259.4765625,95.640625,699.5703125,120.0625,788.375
1925,244.484375,608.1796875,681.1953125,624.015625,689.4765625,253.8046875,106.5,624.59375,123.9609375,795.8203125
1926,121.59375,422.0546875,567.0546875,477.390625,635.921875,202.1484375,133.1640625,496.421875,115.3125,688.265625
1927,201.734375,573.359375,593.9609375,707.03125,817.65625,213.046875,0,773,248.1015625,819.8671875
1928,138.7421875,458.328125,543.1328125,500.3515625,545.796875,191.40625,0,367.921875,173.0078125,746.34375
1929,113.796875,384.6328125,230.140625,376.609375,483.5078125,204.6875,-215.828125,434.8125,169.84375,732.3046875
1930,174.7890625,632.6015625,651.6171875,637.8125,572.0234375,253.65625,66.0546875,572.65625,216.328125,1017.046875
1931,266.515625,496.7109375,603.640625,585.765625,542.953125,278.4140625,296.7109375,369.5390625,213.734375,874.0625
1932,205.3671875,472.2734375,651.3125,450.1953125,589.703125,180.78125,267.5234375,496.765625,247.9296875,985.3984375
1933,161.234375,365.2890625,568.2265625,574.6875,487.015625,203.3359375,193.234375,347.1484375,219.046875,744.015625
1934,215.0703125,373.9609375,653.7578125,587.9375,492.96875,329.859375,196.4609375,501.78125,182.6796875,1328.953125
1935,215.9296875,489.03125,714.875,703.6328125,411.984375,252.8203125,193.703125,669.046875,162.8359375,1192.71875
1936,199.4296875,536.5390625,548.8203125,524.515625,495.5234375,288.765625,211.9140625,681.6171875,109.796875,1194.9296875
1937,195.796875,647.6875,714.6484375,780.7265625,556.2421875,366.8671875,238.546875,740.875,116.078125,1298.8828125
1938,177.2109375,505.671875,554.1875,481.6171875,511.8203125,267.0625,180.7734375,570.6484375,90.421875,817.65625
1939,191.8359375,451.78125,481.46875,493.96875,431.2578125,300.96875,172.046875,666.1171875,78.8984375,636.90625
1940,191.9140625,432.6953125,423.7578125,434.6328125,399.4140625,363.7109375,189.9453125,647.4921875,144.703125,854.78125
