year;MLAAPA06_;MLAAPA07_;MLAAPA08_;MLAAPA09_;MLAAPA10_;MLAAPA11_;MLAAPA13_;MLAAPA15_;MLAAPA17_;MLAAPA19_;aver
1830;561.8182983;422.8002014;545.8047485;568.1550903;541.0227051;556.923584;318.5502625;344.6782227;433.5577698;429.8832703;472.3194153
1831;0;395.4325562;519.1050415;471.3130188;491.949707;627.0037842;271.1021729;291.3436584;413.5368042;370.7507935;385.1537537
1832;277.4767761;397.8863525;478.8848572;583.3605347;483.6820984;555.5870972;469.8548889;366.8417969;468.6138611;432.9997559;451.5188019
1833;499.605011;492.4339294;571.5140991;673.4491577;560.5918579;558.5453491;368.1503296;338.1706543;468.2100525;497.9729614;502.8643402
1834;516.3599243;395.7651062;584.1706543;656.3677979;475.5261536;584.0072632;190.9895172;257.0872498;485.7576599;500.9007874;464.6932114
1835;448.7943115;507.5178528;510.2384644;648.4571533;516.0315552;529.604187;308.4560547;323.4558105;551.5493774;480.9174805;482.5022247
1836;503.8872681;362.1769409;535.7935181;640.5858765;441.5367737;531.7237549;416.4706726;296.2838745;512.0651855;444.3233643;468.4847229
1837;408.8008423;384.9791565;471.0143433;510.0533752;431.5940247;526.6139526;532.8531494;333.1055603;542.1800537;377.5586548;451.8753113
1838;421.5218506;416.1911621;416.6391907;504.3869324;512.9782104;497.0136108;525.2868652;324.3165283;510.7508545;350.4946594;447.9579864
1839;391.0466309;333.9484253;468.7865601;564.5524902;553.5303955;467.4886475;568.9794922;431.8754578;485.7131653;395.9779358;466.1899201
1840;412.3859863;320.5295105;505.1080627;618.4448853;588.1810303;570.46875;511.4550781;366.030365;483.3469849;489.6166687;486.5567322
1841;413.7278442;371.5273132;489.4035645;525.7409058;528.1085815;562.1793823;486.0829773;268.307373;505.6824036;494.0136108;464.4773956
1842;445.3237915;353.4019775;574.4411011;596.8831177;469.9387512;581.355957;414.5027161;303.6053467;530.5447388;495.7757568;476.5773254
1843;452.8817444;411.7611694;586.8778076;631.2094727;511.1103821;586.8831787;477.2070007;355.8696899;460.4758301;529.4316406;500.3707916
1844;397.9648438;371.0562439;569.072998;634.8047485;448.591156;548.8026733;499.6157532;195.2480469;429.3158264;428.155365;452.2627655
1845;413.4597168;432.1259766;556.6970825;633.2420654;502.0436707;532.711853;495.6748962;324.2704773;511.153595;435.4846802;483.6864014
1846;410.4683228;376.1927185;558.307373;613.7354736;337.5875244;469.4370117;593.9238892;260.4175415;491.6358643;447.6722107;455.937793
1847;397.202301;338.6529846;504.0570679;571.4677734;357.532196;514.5383301;504.1822815;272.0475464;490.605835;395.5335083;434.5819824
1848;364.7703247;269.4589844;537.9231567;588.3045654;345.6269836;543.8287354;546.1411743;274.7139282;500.7865906;434.6161804;440.6170624
1849;463.6525574;228.1922607;498.7148132;589.041687;295.5069885;569.3001099;385.7972412;252.0242004;376.7076111;429.8435974;408.8781067
1850;501.5812073;392.1094666;514.2543945;531.1425171;346.4695129;591.0699463;373.0474548;243.0950165;390.1425476;481.1973877;436.4109451
1851;492.0414429;507.8276367;570.0695801;519.8250122;321.841217;560.0657959;530.1612549;278.335144;371.5010071;493.7828979;464.5450989
1852;415.7373047;444.286377;565.2426147;534.0510254;360.4573669;522.0216064;422.93573;267.8823547;404.9424744;532.640564;447.0197418
1853;458.690033;423.5367126;546.1712646;588.6654053;352.9851379;561.3547363;416.3624573;289.1760559;479.8121643;525.2550049;464.2008972
1854;416.7580261;339.2485352;567.1989136;550.2186279;316.5845032;539.000061;526.5151978;293.7608032;528.2009888;447.9447021;452.5430359
1855;524.6929932;294.6885071;590.1831665;620.925354;370.2771912;553.5631104;301.9267273;272.893219;531.7597656;530.3981323;459.1308167
1856;565.2446289;311.9395752;599.2715454;653.50354;346.1633301;503.2263184;470.4830933;288.4729309;439.4770813;494.5419006;467.2323944
1857;551.5952759;409.7877197;542.1576538;564.5371704;354.4013367;460.5146484;442.3371277;297.7194214;513.9152832;466.1827393;460.3148377
1858;507.2340088;449.5873718;508.5980835;525.8293457;318.2685547;477.8193359;438.6250916;269.1881714;532.5269775;499.6080322;452.7284973
1859;510.55896;355.5570984;557.4744873;633.3920288;367.5568542;527.6595459;467.4070435;268.4024353;545.4521484;634.7072754;486.8167877
1860;490.7167358;390.9450989;530.0787964;640.585083;302.5014038;482.0345154;409.5681152;309.2961426;469.7588196;590.3861084;461.5870819
