year;MLACHO01_;MLACHO03_;MLACHO04_;MLACHO05_;MLACHO07_;MLACHO14_;MLACHO15_;MLACHO16_;MLACHO17_;MLACHO19_;aver
1894;463.6962585;751.3406372;457.1873779;610.6418457;540.9161377;504.6562195;529.1751709;627.0229492;455.2667542;588.1539917;552.8057343
1895;383.6732788;649.694458;413.4644165;576.7610474;381.1694641;460.9710999;650.9920044;606.276062;427.5947266;512.4753418;506.3071899
1896;353.9871826;595.1583862;428.1755981;525.3456421;410.2986145;354.2523804;635.1184692;458.0647888;333.4982605;427.0492554;452.0948578
1897;411.8325195;659.7157593;437.7702942;563.2074585;337.0363464;443.311676;480.7357483;553.5488281;419.8101501;541.1986694;484.816745
1898;438.2272339;696.1380005;442.4937134;560.133606;408.1135864;467.1298218;489.7805176;601.3432007;403.0776367;509.348938;501.5786255
1899;357.4279785;404.1620789;436.2916565;539.883606;374.7549133;387.9085693;538.1437988;520.4768677;363.1076965;453.8069153;437.5964081
1900;431.5628662;647.8413696;400.9058228;587.1247559;508.5671692;428.8221741;553.5878296;629.3311157;445.3635864;527.6143799;516.0721069
1901;399.5980225;679.4503174;441.2230835;575.861084;462.214386;437.3725891;655.3545532;656.2559204;458.5074768;559.4089966;532.5246429
1902;319.4821167;625.6872559;445.5667419;547.2286987;397.8623047;423.2992249;600.3477783;639.2141724;441.9146729;519.026001;495.9628967
1903;388.4051208;652.2270508;532.305603;624.5466919;424.3799133;491.2826538;589.6766357;701.4658813;499.0300293;580.2157593;548.3535339
1904;390.2158203;671.1186523;525.6141968;583.4187012;441.573761;454.1507874;596.2352295;471.1918335;443.9757385;490.2047119;506.7699432
1905;435.2048645;617.4481812;485.3300171;459.7934265;492.999176;411.2510376;541.6982422;606.0690308;383.3578796;530.3671875;496.3519043
1906;475.4430847;709.2836914;553.0883789;569.4636841;525.465332;458.9524841;543.4983521;681.9268799;453.7114258;612.703125;558.3536438
1907;392.8691101;535.6367188;460.8409119;557.9124146;423.0074768;442.6097107;545.2585449;633.9056396;415.4584045;538.6044312;494.6103363
1908;343.9577026;506.1433716;417.6258545;511.2120667;407.0184937;450.8406067;499.7070618;565.6242065;397.3494873;462.8442383;456.232309
1909;374.7151184;642.1057739;438.2849121;521.5870361;422.4659119;351.5800781;540.5881958;615.8115234;428.5699158;445.9560547;478.166452
1910;510.5534973;683.2018433;484.3091736;645.4943848;619.3266602;452.3215027;571.2787476;647.2055664;475.5963135;517.5355225;560.6823212
1911;356.6354065;595.1746826;366.1835022;560.9085083;274.6094666;447.1908264;661.0651855;646.5268555;416.3107605;525.4139404;485.0019135
1912;384.5323486;638.1676636;487.3012695;620.2838135;371.1712646;509.5299683;634.8496704;717.4090576;482.0406799;635.3219604;548.0607697
1913;376.8989258;540.3384399;368.1140747;500.7593079;327.4356384;443.2261963;697.2895508;651.6155396;273.5819092;520.9951172;470.02547
1914;418.9187622;612.3236694;497.7745972;631.4731445;318.2198792;547.0396729;597.7926025;718.9023438;471.7283936;627.0216064;544.1194672
1915;341.6329956;435.2281189;405.0971985;432.6825867;346.8924866;363.5469055;653.9229736;401.843811;318.8160706;156.5571594;385.6220306
1916;398.2939148;608.6453247;428.7999878;477.560791;320.9050293;507.6408997;551.4060669;612.6447754;381.4693298;511.4907837;479.8856903
1917;431.8725281;676.0751953;542.5671997;657.4890747;336.8963928;623.2918701;657.3635864;710.9178467;460.0030212;633.2036133;572.9680328
1918;394.7699585;559.9552612;416.4753113;530.5615845;397.5527344;475.4277344;579.4647827;640.3672485;446.100647;447.4672546;488.8142517
1919;363.8900757;558.3548584;413.4608765;548.9439087;327.1488037;546.8164673;656.6150513;650.8273315;403.731842;553.7929688;502.3582184
1920;520.963562;706.7266846;543.2207642;695.3538208;520.074646;699.9834595;794.1298218;822.7351074;551.3725586;650.9133301;650.5473755
1921;413.5925598;484.9648743;453.4465027;541.3568726;388.3311462;496.1334229;584.8388062;606.6096802;366.4705505;584.0930176;491.9837433
1922;401.3875732;668.1192017;458.3193665;617.1043091;479.2893677;586.7075195;647.1152344;705.5516357;502.734436;566.5123291;563.2840973
1923;340.1672974;524.4283447;364.6405334;501.1961365;354.723053;484.6836853;519.3996582;424.2973328;366.463501;489.045929;436.9045471
1924;484.4934387;692.1560059;532.8881836;522.9971313;422.6870117;595.4761353;587.3397217;610.0006104;443.7063599;526.0513306;541.7795929
1925;369.2474976;546.3305054;351.4677734;560.3469238;344.5486755;572.4795532;613.880188;594.178833;409.4007568;541.7286987;490.3609406
1926;401.7620239;477.5519714;359.3865356;476.4996643;329.7413635;427.2468567;501.6307983;538.4523315;299.8793945;421.4611206;423.3612061
1927;459.1213379;480.4245911;484.319397;529.4037476;382.8201599;451.0016479;488.7600403;528.7063599;404.2433777;466.2546692;467.5055328
1928;447.2401733;548.9923096;439.0586548;526.3187256;372.75177;458.3244019;546.2037354;552.2695923;395.1593323;450.0943909;473.6413086
1929;509.5623169;559.1367798;412.6999207;496.8918457;413.2209473;462.7341309;539.3284912;549.7207642;403.8355103;549.4066162;489.6537323
1930;451.2952271;617.0170898;496.3088074;663.2341919;406.556488;564.3191528;604.7866821;697.4905396;485.229187;617.7494507;560.3986816
1931;472.4121399;488.3937988;389.6717224;628.5333862;367.2950134;491.0618896;542.2745361;590.6220703;420.6697083;597.467041;498.8401306
1932;429.7029114;590.5114136;525.2477417;673.1519165;371.9692993;524.9006348;520.597229;519.1747437;407.5945129;470.4309082;503.3281311
1933;432.9271851;551.9903564;443.1348572;634.2490234;307.3841248;528.2070313;566.1068726;589.4476318;409.8582153;577.8484497;504.1153748
