year,RCTA*KHA_03_,RCTA*KHA_06_,RCTA*KHA_09_,RCTA*KHA_12_,RCTA*KHA_14_,RCTA*KHA_15_,RCTA*KHA_16_,RCTA*KHA_17_,RCTA*KHA_19_,RCTA*KHA_20_
1905,12.656610488891602,25.409170150756836,0,28.31534194946289,39.856197357177734,0,32.62649154663086,39.971492767333984,20.775392532348633,23.74210548400879
1906,8.915812492370605,22.12350845336914,0,46.09115982055664,41.03982162475586,0,33.36272430419922,39.7042121887207,22.830177307128906,21.62407875061035
1907,10.415946960449219,21.17133331298828,0,48.331966400146484,45.4351806640625,0,33.80344009399414,41.53990173339844,18.13106918334961,18.710790634155273
1908,9.295367240905762,27.49669647216797,0,31.623525619506836,46.8946533203125,0,37.692169189453125,37.42544174194336,25.376340866088867,18.17428970336914
1909,11.068253517150879,35.589935302734375,0,44.636966705322266,38.09477615356445,0,24.379301071166992,35.95493698120117,21.660213470458984,16.00538444519043
1910,11.429779052734375,21.80185890197754,0,34.37202072143555,33.34846496582031,0,19.981033325195312,36.471717834472656,12.56563949584961,14.5712890625
1911,10.374786376953125,25.808225631713867,0,42.51727294921875,34.71111297607422,0,23.512897491455078,41.15790557861328,25.276033401489258,17.0205078125
1912,22.494293212890625,27.955286026000977,0,54.40424728393555,43.425689697265625,0,31.50016975402832,51.49993896484375,32.05427932739258,19.269189834594727
1913,10.87529182434082,26.89256477355957,0,48.497108459472656,38.89744567871094,0,29.478221893310547,49.229576110839844,28.828027725219727,36.094215393066406
1914,6.505367755889893,27.059120178222656,0,34.55328369140625,39.6473274230957,0,30.279935836791992,45.14035415649414,28.719648361206055,14.157892227172852
1915,7.98097562789917,31.058128356933594,0,46.62947082519531,24.378385543823242,0,36.37110900878906,41.452964782714844,30.825727462768555,17.936710357666016
1916,7.9944868087768555,17.2174129486084,0,33.19894027709961,25.898883819580078,0,31.878150939941406,40.263450622558594,25.90397834777832,14.799173355102539
1917,7.28030252456665,14.563132286071777,0,36.4321403503418,27.46775245666504,0,35.098106384277344,37.51952362060547,27.004446029663086,15.086886405944824
1918,10.000578880310059,11.137813568115234,0,39.985103607177734,32.6612663269043,0,28.596994400024414,40.099063873291016,23.919984817504883,15.565873146057129
1919,8.365578651428223,14.424113273620605,0,40.74288558959961,29.568845748901367,0,36.259037017822266,43.085933685302734,32.59056091308594,12.296557426452637
1920,6.907903671264648,18.20343017578125,0,32.44135665893555,29.671308517456055,0,38.086944580078125,42.11510467529297,27.952455520629883,17.916545867919922
1921,11.483074188232422,18.621633529663086,0,33.950111389160156,26.560585021972656,0,32.849159240722656,35.07721710205078,20.745933532714844,14.962446212768555
1922,8.136642456054688,19.9886417388916,0,25.38591766357422,29.031063079833984,0,35.25514602661133,34.529598236083984,25.2458438873291,12.969681739807129
1923,9.839129447937012,21.602563858032227,0,33.962547302246094,30.030664443969727,0,39.58685302734375,39.0558967590332,22.260089874267578,20.81728744506836
1924,9.68774700164795,21.39034080505371,0,29.49077606201172,31.151033401489258,0,33.1166877746582,37.199058532714844,28.1817684173584,14.130000114440918
1925,11.336003303527832,23.599660873413086,0,41.450016021728516,30.134572982788086,0,32.3326416015625,43.945858001708984,22.53263282775879,14.612239837646484
1926,11.807686805725098,24.231853485107422,0,33.83407974243164,31.331100463867188,0,32.68858337402344,42.117557525634766,22.434045791625977,16.917739868164062
1927,15.356095314025879,27.120628356933594,0,42.24483871459961,29.460025787353516,0,29.881216049194336,45.29030227661133,21.004981994628906,17.714515686035156
1928,8.560364723205566,21.734098434448242,0,30.533193588256836,28.86577796936035,0,50.23981475830078,42.42646408081055,18.746078491210938,18.10221290588379
1929,11.87639045715332,22.699569702148438,0,34.99010467529297,29.985454559326172,0,46.857337951660156,40.74398422241211,19.74440574645996,15.870647430419922
1930,12.842555046081543,22.603675842285156,0,29.615615844726562,30.179733276367188,0,41.39278030395508,40.560516357421875,18.17994499206543,19.747726440429688
1931,17.925443649291992,22.63650131225586,0,45.87055969238281,33.22248840332031,0,44.78984451293945,40.01131820678711,33.15699005126953,22.570756912231445
1932,0,19.133848190307617,0,26.694782257080078,24.096763610839844,0,43.61489486694336,34.72538375854492,21.34929656982422,17.95829963684082
1933,0,22.33638572692871,0,29.0848445892334,25.188398361206055,0,41.200767517089844,40.744720458984375,22.378910064697266,16.26302719116211
1934,0,23.236507415771484,0,32.78009796142578,28.42267608642578,0,39.783145904541016,35.833404541015625,22.311508178710938,14.237361907958984
1935,0,24.567184448242188,0,34.76303482055664,24.69407844543457,0,36.387760162353516,33.32541275024414,22.39634895324707,13.527937889099121
1936,0,26.757043838500977,0,33.53145980834961,33.837806701660156,0,36.99407196044922,34.31845474243164,27.743093490600586,14.962969779968262
1937,2.7039363384246826,29.343852996826172,0,39.830318450927734,26.638458251953125,0,40.05463409423828,41.10139083862305,32.540401458740234,13.336411476135254
1938,7.582620620727539,27.55149269104004,0,31.739896774291992,25.665767669677734,0,40.9250373840332,36.982669830322266,31.484596252441406,14.189539909362793
1939,5.110824108123779,25.3608341217041,0,33.36223220825195,22.268388748168945,0,39.03950119018555,38.71163558959961,30.249542236328125,17.21942710876465
1940,6.970453262329102,22.87200164794922,0,29.646203994750977,28.35279655456543,0,44.2695198059082,40.59986877441406,27.803190231323242,18.170734405517578
1941,5.7263898849487305,26.980499267578125,17.404756546020508,29.374984741210938,27.702716827392578,0,39.59815979003906,5.7603654861450195,25.35573959350586,12.476398468017578
1942,8.901851654052734,25.7370548248291,13.585546493530273,25.85504722595215,22.499916076660156,0,41.43337631225586,42.883567810058594,28.202272415161133,19.757505416870117
1943,6.764751434326172,25.20590591430664,11.754920959472656,25.612449645996094,26.638652801513672,0,41.256736755371094,43.60649871826172,28.38804054260254,32.12444305419922
1944,9.496261596679688,26.269329071044922,16.64480209350586,33.04848861694336,30.12574005126953,0,44.84754180908203,50.902523040771484,25.955720901489258,27.898618698120117
1945,5.280168533325195,24.908708572387695,18.603073120117188,23.547277450561523,30.98293685913086,0,43.39400863647461,45.79414749145508,21.879364013671875,34.47508239746094
1946,7.058901786804199,24.299833297729492,16.1441650390625,22.941991806030273,30.066659927368164,0,41.50092697143555,45.99861526489258,21.928367614746094,26.55978012084961
1947,11.382223129272461,34.08563995361328,6.357244968414307,26.04558753967285,19.803768157958984,0,22.002986907958984,44.93845748901367,20.611135482788086,31.9947452545166
1948,5.197610378265381,23.200162887573242,14.946613311767578,23.842283248901367,24.501562118530273,0,41.11068344116211,45.4194221496582,22.915678024291992,34.7822265625
1949,9.863717079162598,28.439592361450195,10.811393737792969,23.474836349487305,28.72020149230957,0,40.65266799926758,43.37715148925781,22.697275161743164,38.623287200927734
1950,8.28210735321045,25.850685119628906,17.0462646484375,28.018234252929688,28.149314880371094,0,46.751808166503906,48.8200798034668,21.6951847076416,43.386592864990234
1951,7.279384136199951,24.919601440429688,14.669271469116211,25.23548126220703,30.282455444335938,0,49.852787017822266,50.28050994873047,19.155614852905273,35.99519729614258
1952,8.065711975097656,24.489835739135742,17.202205657958984,29.83938980102539,34.85856628417969,0,50.497589111328125,50.098995208740234,20.391475677490234,40.635231018066406
1953,5.908141613006592,25.704391479492188,11.7597074508667,20.500036239624023,23.25162124633789,0,38.41077423095703,40.74578857421875,18.39508819580078,35.48067092895508
1954,8.960651397705078,27.572330474853516,10.024885177612305,27.773466110229492,31.54011344909668,0,46.88104248046875,53.23822021484375,17.55866050720215,36.26698684692383
1955,15.782350540161133,35.31718444824219,13.076927185058594,33.50494384765625,32.678565979003906,0,51.17524719238281,55.14431381225586,16.84638214111328,41.83036804199219
1956,8.66638469696045,32.91804504394531,11.445661544799805,19.050491333007812,30.32655906677246,0,41.694400787353516,48.11912155151367,20.039060592651367,38.75732421875
