year,MLAKHA_03_,MLAKHA_06_,MLAKHA_09_,MLAKHA_12_,MLAKHA_14_,MLAKHA_15_,MLAKHA_16_,MLAKHA_17_,MLAKHA_19_,MLAKHA_20_
1828,310.370849609375,321.8691101074219,480.3644104003906,426.2228088378906,362.4838562011719,588.7841186523438,691.0737915039062,0,285.3226318359375,259.8467712402344
1829,309.0885925292969,359.250732421875,404.9983825683594,398.4301452636719,316.5355224609375,624.4999389648438,649.1365966796875,0,281.1775207519531,243.53297424316406
1830,275.32135009765625,117.79129791259766,203.4022979736328,213.71047973632812,173.40858459472656,807.967529296875,390.7251281738281,0,225.24916076660156,216.0789031982422
1831,420.2193908691406,363.8989562988281,468.4504699707031,415.50927734375,407.19085693359375,458.60595703125,741.7223510742188,0,324.3946228027344,295.6887512207031
1832,404.01129150390625,384.3529968261719,471.6652526855469,423.8293151855469,326.3812255859375,741.7628784179688,603.1024169921875,0,297.4017639160156,327.2790832519531
1833,331.62872314453125,403.5172119140625,138.84408569335938,378.2817077636719,248.94992065429688,0,0,0,286.8392333984375,295.5997009277344
1834,405.3655700683594,340.7971496582031,413.5831298828125,385.7898864746094,393.1557312011719,508.82550048828125,0,74.66039276123047,291.4434509277344,273.1517333984375
1835,406.2135009765625,425.0708923339844,507.2303466796875,370.5201416015625,433.2718200683594,643.8253173828125,1053.8170166015625,111.93489074707031,328.7845153808594,327.5960998535156
1836,358.3979187011719,305.3372497558594,408.4346923828125,387.4462890625,321.5724182128906,694.7894897460938,0,142.49546813964844,313.4074401855469,241.46348571777344
1837,418.74755859375,440.5159912109375,359.44671630859375,447.8622131347656,283.5634460449219,785.5762939453125,915.1939086914062,125.38130950927734,316.0523376464844,291.1993408203125
1838,297.9622497558594,298.88726806640625,328.47381591796875,252.69923400878906,339.8998718261719,476.3193359375,340.2359619140625,105.56607818603516,249.00514221191406,250.17758178710938
1839,474.72216796875,409.28778076171875,461.13818359375,427.0873718261719,385.92669677734375,734.2867431640625,302.4148254394531,143.88584899902344,332.60107421875,370.8179931640625
1840,435.9681701660156,371.2897033691406,464.0866394042969,422.1236877441406,396.0316162109375,778.3238525390625,483.55303955078125,137.38047790527344,380.4622497558594,316.6627502441406
1841,354.6945495605469,276.5406494140625,515.642822265625,444.9234619140625,474.921630859375,757.2144775390625,703.112060546875,121.15835571289062,0,221.3147735595703
1842,438.00927734375,293.7583923339844,555.67919921875,534.58642578125,414.0170593261719,831.5839233398438,759.1495361328125,124.9872817993164,0,392.0715637207031
1843,321.2460632324219,318.5431213378906,320.0165100097656,420.38336181640625,298.0303955078125,0,0,138.7725372314453,0,255.83216857910156
1844,288.5920715332031,385.1407165527344,454.5467224121094,417.55078125,405.7445983886719,0,546.4996337890625,122.43313598632812,0,292.6534423828125
1845,303.6722106933594,291.9459228515625,354.5989685058594,379.96954345703125,337.81951904296875,0,629.7852783203125,108.13130187988281,0,244.19363403320312
1846,346.4698181152344,259.3115234375,496.7898254394531,416.9919738769531,436.8689270019531,0,738.9950561523438,111.05393981933594,0,304.4615478515625
1847,413.876220703125,353.7091064453125,375.02520751953125,417.21636962890625,350.6883239746094,0,662.9763793945312,151.21282958984375,0,395.97003173828125
1848,304.6308898925781,236.29737854003906,365.4239196777344,347.72381591796875,369.71002197265625,0,489.64117431640625,170.96661376953125,0,279.7867736816406
1849,354.9860534667969,318.9320983886719,324.7984313964844,213.62527465820312,262.817626953125,433.1290588378906,222.7832794189453,178.7129669189453,0,246.99697875976562
1850,456.74822998046875,417.10369873046875,548.8017578125,342.8980712890625,382.6296081542969,645.7023315429688,742.4091186523438,224.4093017578125,0,292.16448974609375
1851,330.01708984375,297.85699462890625,425.8544921875,420.99542236328125,345.5260314941406,391.9474792480469,597.5609130859375,188.67857360839844,0,218.95237731933594
1852,441.934326171875,324.4393310546875,564.3998413085938,314.98583984375,418.4978942871094,336.3274841308594,659.3372192382812,195.47552490234375,0,263.1009826660156
1853,338.0078125,240.81005859375,456.3120422363281,371.6368408203125,431.4601135253906,216.44381713867188,651.5866088867188,175.8177490234375,0,224.81472778320312
1854,355.26605224609375,279.06182861328125,363.1028747558594,437.3132629394531,346.48297119140625,208.54364013671875,689.4652099609375,248.0005340576172,172.9790802001953,251.08917236328125
1855,289.741943359375,288.77178955078125,437.7121887207031,395.1539001464844,348.3023986816406,198.73919677734375,640.3972778320312,189.70849609375,240.62820434570312,259.58099365234375
1856,288.3390808105469,232.0596923828125,423.73712158203125,354.5301208496094,407.6968078613281,178.8258819580078,621.6670532226562,211.1696319580078,420.3731994628906,228.6067657470703
1857,453.0360107421875,309.4907531738281,448.5195007324219,582.5206298828125,468.3702087402344,275.2842102050781,613.6076049804688,252.252197265625,0,296.5322570800781
1858,468.1798400878906,391.1492614746094,562.5072021484375,630.4570922851562,546.2240600585938,352.0828552246094,812.0938110351562,251.68455505371094,416.8316955566406,398.5816345214844
1859,310.0421142578125,317.2914123535156,412.2585754394531,375.6244812011719,360.5457763671875,230.47149658203125,420.82696533203125,216.39794921875,317.0690612792969,319.60772705078125
1860,330.59259033203125,347.09136962890625,603.8743286132812,479.71966552734375,394.57781982421875,212.0474395751953,484.3799133300781,261.4207458496094,485.4590148925781,276.97662353515625
1861,396.8973388671875,376.62799072265625,503.6665954589844,501.7646789550781,520.8858032226562,280.2030029296875,482.4992370605469,273.6349182128906,482.1087646484375,379.0765380859375
1862,395.615478515625,391.6144714355469,580.91015625,512.7106323242188,457.0129089355469,337.1159362792969,613.646240234375,296.9718017578125,519.0806884765625,512.9171142578125
1863,251.57305908203125,238.7348175048828,428.1626281738281,432.4739685058594,459.50579833984375,166.11288452148438,634.2638549804688,269.6688537597656,449.8005676269531,453.0225830078125
1864,382.41204833984375,336.2117614746094,475.2123718261719,477.4473571777344,453.0619812011719,224.6903076171875,0,296.4023132324219,490.34234619140625,505.1756591796875
1865,391.678955078125,273.876220703125,519.0022583007812,378.8033142089844,396.80010986328125,176.297119140625,310.7198791503906,293.0784912109375,476.0224609375,505.9227600097656
1866,379.1072998046875,321.04925537109375,401.3919982910156,430.7626037597656,375.2048645019531,316.42462158203125,316.2271728515625,306.3048095703125,398.5387878417969,554.9266357421875
1867,327.43121337890625,259.5691223144531,365.8638000488281,348.4096984863281,377.61517333984375,274.1065673828125,254.69247436523438,264.2564392089844,377.982177734375,263.7918395996094
1868,417.7858581542969,320.2475280761719,585.0877685546875,428.0871276855469,491.5578918457031,332.1819152832031,385.0746154785156,338.1263732910156,525.8223266601562,461.5908203125
