year,RAKHA_03_,RAKHA_06_,RAKHA_09_,RAKHA_12_,RAKHA_14_,RAKHA_15_,RAKHA_16_,RAKHA_17_,RAKHA_19_,RAKHA_20_
1898,1.0067224100988454,1.0900950783361338,0,0,0.30340938275112705,1.1070746294470553,1.0560833664935956,2.374529899864328,1.5989951935068802,0.43330739225058323
1899,0.8136337679484313,0.7367224090995848,0,0,0.36008353752416156,0.5042591170497985,1.172858117842864,2.2869509681059697,1.458439826265888,0.3812266921461145
1900,1.0258215386334655,0.5014969845205428,0,0,0.5165584558701255,1.0741721231780161,0.7718004198198116,0.7460589183067583,1.1192189300186897,0.4027261921162619
1901,1.4988822976160066,1.0699851560841296,0,0,0.45213262859390113,1.2743223617633674,1.852977454353848,1.6767871533379974,1.6874284802982942,0.9800344308624034
1902,1.601041709477741,1.052660409966407,0,0,0.4349239435525618,2.380605899019102,1.5770216588353065,1.7510254823653781,1.6073162735222013,0.8357490635088709
1903,1.6416345135660464,0.9616624178587898,0,0,0.41060347789878904,1.3798196395631237,1.508808199179981,1.5503124031844493,1.0897066627104266,0.5696338256977498
1904,1.3784394006490857,0.9323588731176642,0,0,0.32205841275002456,1.9737387613302957,1.4504745589159427,1.196823285066472,1.3012240254150385,0.374133949461239
1905,1.0387317365960484,0.49343086371268896,0,1.193346254815424,0.289239599862654,0.7341853904555222,0.8690940390698785,0.8501869900804166,0.9512427158953471,0.3156585799499112
1906,1.033085891322301,0.6667784657352769,0,0.9944636829832518,0.5038535004495799,0.9337063822650578,1.0030181404893028,1.3185016392194484,1.0835625417184218,0.6163385450654175
1907,1.3146268594148722,0.6657469753575782,0,1.0641477810716964,0.4307847128209943,1.1630461126310507,0.8412416228948416,1.3167201587698258,0.9591648480115111,0.5846016448853817
1908,2.605543128622088,1.6586800471425391,0,1.9752436142758683,1.3277510082326245,2.047536588408917,1.7933436165200192,2.7814767015270405,3.6105067899832335,1.204526402844337
1909,1.7899876587205483,0.34928771234807243,0,0.8617237909265043,0.6645886122977345,0.5823911291300448,0.676757198042182,2.547087843077989,1.4931132797215412,0.8932238306149713
1910,1.0665601468986807,0.9926944130731243,0,0.39462623580099887,0.77811762593727,1.5958243159923313,0.7593114758666957,2.535030730231057,0.8352586582642232,0.5984444845117309
1911,1.3514341118392394,0.9859503871760751,0,0.7170556074252801,0.4921239911230515,1.7860204677507028,0.5783845856183945,2.1296698687532114,0.6056196349386767,0.4557715441728476
1912,0.4214986461349639,0.2872209530568881,0,0.278540444281262,0.2374789714884571,0.29883438291683717,0.2163579774426836,1.375612614034921,0.2547512268028953,0.47474742137929127
1913,0.8094748147581186,0.5983964223602811,0,0.47531309483437667,0.3046850829405088,0.7686152999336997,0.5705965905944907,1.1800124910102454,0.42622013994221675,0.9779927829760027
1914,3.0713549262890893,1.4761890020957509,0,1.1859485609614353,1.104099625630468,2.3358637897585766,1.5952746561981996,2.31576571521164,1.4940854103272159,0.9507825986263896
1915,1.9029474669555526,1.5104558369497738,0,0.4798431052549432,1.0710319510168773,1.1227112918427622,1.0192637326204874,2.1706702514032514,1.0895042034506446,1.0953724655221748
1916,2.241094577662949,1.4771163362614175,0,1.1508585755153575,1.476283945036073,1.6174202526130301,1.2650745958974028,2.778775426431295,1.159958262396927,1.1667157517366604
1917,1.5407313519005044,1.1844688435237316,0,0.8530646515438463,1.4051020293629506,1.7066153760540885,1.300885136696948,2.6415720011731025,0.8549785635178608,0.9701404205423927
1918,1.9394905735282322,1.6235649445909814,0,1.3062685906064928,1.8192754615935485,1.559929812477776,1.3855444386977638,2.602827736581972,0.9928549857048665,0.9817227789706067
1919,1.674598019216205,1.3405384854144842,0,1.1333734097380983,1.2062696787349552,1.6774335591589704,1.3518538130895053,2.6457381208316804,1.0970963955637671,0.8758932214459207
1920,2.425419522064459,1.3858478578796394,0,1.3732867408320288,1.4765669653514522,1.8580319328609676,1.7657465570691642,2.859754740870841,1.1840502654953866,1.0642495826304526
1921,1.187467345940675,1.0237529788102648,0,1.060705442548013,1.2746959939387352,1.7387147498812254,1.2875220674509222,1.715860226722583,0.49370159732957575,0.6289731398914427
1922,1.7337481328212476,1.2594349123797173,0,1.7668181690243614,2.0533216141374595,1.6927317130370483,1.733163858281813,2.138954819273053,1.0070599310048465,0.7598976046357677
1923,2.176870930205098,1.1706092586833137,0,1.6216915469932047,1.7981664155106643,1.5469786028965586,1.2899885323489286,2.3799827977656207,0.9241393922915222,1.022031197330989
1924,2.2938080020930443,1.26372179230016,0,1.4330067691673207,2.3598975376329463,1.5270000083427249,1.3602694158693822,2.75603006435594,1.224253041402278,1.1463586592384587
