year,MRadDistKHA_03_,MRadDistKHA_06_,MRadDistKHA_09_,MRadDistKHA_12_,MRadDistKHA_14_,MRadDistKHA_15_,MRadDistKHA_16_,MRadDistKHA_17_,MRadDistKHA_19_,MRadDistKHA_20_
1909,3524.3046875,9022.8515625,0,1726.3515625,11443.53125,3248,7442.5390625,13158.9296875,3325.2578125,13178.171875
1910,3825.796875,9302.859375,0,1837.796875,11663.3984375,3699.8984375,7658.3125,13871.8359375,3561.0625,13347.8125
1911,4207.4453125,9581.609375,0,2040.3984375,11802.6484375,4203.546875,7822.6171875,1584.1640625,3732.28125,13477.953125
1912,4326.71875,9661.9453125,0,2119.171875,11869.765625,4287.8203125,7883.5625,1972.7265625,3804.2578125,13611.984375
1913,4555.4921875,9830.6875,0,2254.296875,11955.9609375,4505.5546875,8044.484375,2305.59375,3924.7421875,13888.7109375
1914,5424.9921875,10247.453125,0,2589.765625,12268.765625,5166.4765625,8495.2109375,2959.71875,4346.4140625,588.828125
1915,5963.1875,10674.625,0,2724.6328125,1354.453125,5483.4140625,8783.6875,3573.0859375,4653.9296875,898.1953125
1916,6598.015625,631.484375,0,3049.9765625,1772.5625,5940.8671875,9141.5,4358.0859375,4981.5390625,1228.2578125
1917,7032.6953125,966.53125,0,3291.5625,2169.5546875,6423.890625,9510.765625,5105.0078125,5223.65625,1502.390625
1918,7581.65625,1425.4453125,0,3660.71875,2684.0625,6863.5078125,9901.0390625,5841.7109375,5502.7421875,1779.859375
1919,8053.578125,1804.1640625,0,3981.3203125,3025.6484375,7337.7734375,10283.6484375,6591.4140625,5811.3359375,2027.578125
1920,8739.3125,2195.984375,0,4369.71875,3443.6796875,7863.5546875,10783.234375,7398.5234375,6146.28125,2327.921875
1921,9076.109375,2485.546875,0,4670.6328125,3804.0546875,8356.1875,11148.9375,7883.7109375,6285.828125,2505.28125
1922,9565.59375,2841.8046875,0,5170.4921875,4384.84375,8834.15625,11638.9296875,8487.546875,6572.5390625,2721.078125
1923,10181.578125,3172.703125,0,5629.4296875,4893.25,9272.734375,12003.0234375,9159.3671875,6834.765625,3009.2890625
1924,10830.3515625,3530.0546875,0,6035.4296875,5561.9453125,9705.3125,12386.6328125,9937.65625,7183.984375,3333.9609375
1925,11197.3671875,3717.0703125,0,6378.15625,5945.921875,10048.8203125,12605.3125,10404.1796875,7368.1328125,3495.4765625
1926,11633.96875,4046.296875,0,6837.859375,6465.609375,10460.8125,13093.6640625,11313.5234375,7759.59375,3758.7578125
1927,11894.8671875,4242.5234375,0,7141.484375,6723.8671875,10671.9765625,985.9296875,1284.3671875,7939.546875,3909.828125
